"","logFC","logCPM","PValue","FDR"
"Lus10032671.g.BGIv1.0",-1.38066141333356,1.53417846062124,7.15462791514807e-05,0.00054641963409282
"Lus10020767.g.BGIv1.0",-1.02693425599353,1.84551548101948,7.15470211694309e-05,0.00054641963409282
"Lus10009364.g.BGIv1.0",1.04443372328843,1.94741916969759,7.15776363120225e-05,0.000546557426334082
"Lus10032659.g.BGIv1.0",1.06161606474239,2.58383531412339,7.19044057263541e-05,0.000548667091685157
"Lus10019030.g.BGIv1.0",-2.23391287594353,0.0673230517626907,7.21318774100734e-05,0.000549920175884479
"Lus10037229.g.BGIv1.0",-1.11961899620499,1.69966554918836,7.23057031231226e-05,0.000551052107374695
"Lus10036587.g.BGIv1.0",-1.6562291781519,1.58911652402101,7.29532763045147e-05,0.000555597735499923
"Lus10037132.g.BGIv1.0",-1.22980089419058,1.49960460919072,7.33850040070076e-05,0.000558494311832743
"Lus10010375.g.BGIv1.0",1.14257113229692,2.02486344217448,7.44954644987581e-05,0.000565658050170395
"Lus10016991.g.BGIv1.0",-2.9430498159099,-0.481747703593689,7.46087994320429e-05,0.000566221913427084
"Lus10034505.g.BGIv1.0",-1.1681394017918,1.42659883977473,7.48917395803432e-05,0.000568170822215898
"Lus10026534.g.BGIv1.0",1.00660861168254,2.89585260529173,7.60544285860935e-05,0.000576488590246917
"Lus10043215.g.BGIv1.0",-1.4501173600514,1.64346103812899,7.62961029064511e-05,0.000578118858191796
"Lus10042264.g.BGIv1.0",1.41337491110187,1.1159870977801,7.76883733778784e-05,0.000587643725763621
"Lus10007251.g.BGIv1.0",-1.00364950695116,1.8953050508339,7.7785835640757e-05,0.000588074445415539
"Lus10013675.g.BGIv1.0",-1.07028105852132,2.6672358965453,7.99164734295858e-05,0.000602714957747662
"Lus10043402.g.BGIv1.0",1.74936178576877,0.98064149339522,8.03510535938383e-05,0.00060557223487825
"Lus10004349.g.BGIv1.0",-1.24359770092282,1.68218902738074,8.22788657820481e-05,0.00061827909670033
"Lus10011274.g.BGIv1.0",-2.27724405636401,0.0902340758198349,8.24353707308026e-05,0.00061924105772226
"Lus10021298.g.BGIv1.0",1.23253516885011,1.63882133738741,8.31077642561247e-05,0.000623537732132895
"Lus10026081.g.BGIv1.0",-1.52886137359367,0.901468511910378,8.47176696119079e-05,0.00063495893374125
"Lus10028056.g.BGIv1.0",-1.78493628404894,0.407901275216451,8.57225588030983e-05,0.000641716093289045
"Lus10007633.g.BGIv1.0",-1.15222035570079,1.49937680200988,8.63819818857087e-05,0.000646207388496583
"Lus10036681.g.BGIv1.0",1.26675980598978,1.38964758445909,8.68360108318146e-05,0.000649380393406127
"Lus10025038.g.BGIv1.0",1.13758888902777,1.76858688998779,8.87319204925117e-05,0.000662532689063891
"Lus10021473.g.BGIv1.0",1.4566948830178,0.875157549441633,8.9854310792929e-05,0.000669877678696522
"Lus10039746.g.BGIv1.0",-1.07607423180726,1.92122769649238,9.37043853250491e-05,0.000696549817795008
"Lus10024075.g.BGIv1.0",1.51366439729172,1.13984868753196,9.53690969403772e-05,0.000707714239176364
"Lus10004239.g.BGIv1.0",1.5721041048179,0.943348356434021,9.58230051219291e-05,0.000710476182100525
"Lus10030078.g.BGIv1.0",-1.52043063881507,0.84714693284534,9.75188862931649e-05,0.000722285998019101
"Lus10039830.g.BGIv1.0",-1.16073354165243,1.38838849023323,9.82649119598843e-05,0.000727237594235529
"Lus10041093.g.BGIv1.0",1.04467601747092,1.86952462158694,9.8929861684102e-05,0.000731515566808913
"Lus10034362.g.BGIv1.0",1.38634651761076,0.9290610589511,0.000101778585512509,0.000749774087580794
"Lus10028060.g.BGIv1.0",-1.34622472941798,1.19378914491567,0.000102656015569499,0.000755214021462463
"Lus10035053.g.BGIv1.0",-5.44580832065783,-1.03185778937773,0.000107756770569411,0.000789133182854253
"Lus10018796.g.BGIv1.0",-1.71003715163623,0.585718416908747,0.000107853022126908,0.000789439084842365
"Lus10014347.g.BGIv1.0",-1.38946869046014,1.00586773502523,0.000108834863496362,0.000796357574659208
"Lus10009826.g.BGIv1.0",1.05569366942894,1.923082150772,0.000111276862205275,0.000812311750953064
"Lus10007485.g.BGIv1.0",-3.79241214507019,-0.839589376413085,0.000111694571791058,0.000814813681881034
"Lus10040368.g.BGIv1.0",-1.23559541010297,1.37915852337014,0.000111997045903554,0.000816609121515163
"Lus10005764.g.BGIv1.0",-1.81637330115582,0.247850009340978,0.000113047853675898,0.000823856370015922
